Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes,
Maules Creek Open Cut Mine,NSW,MAULES CREEK COAL PTY LTD,70140533875,"367,513",Calculated baseline,"266,464",0,0,0,"266,464",n/a,n/a, - , - ,-,
McArthur River Power Station,NT,EDL NGD (NT) Pty Ltd,28065496577,"153,748",Production-adjusted baseline,"135,796",0,0,0,"135,796",n/a,n/a, - , - ,-,
Mesa A Mine,WA,Robe River Mining Co. Pty. Ltd.,71008694246,n/a,Multi-year monitoring period,"88,004",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Metropolitan Colliery,NSW,METROPOLITAN COLLIERIES PTY. LTD.,91003135635,"663,700",Calculated baseline,"433,633",0,0,0,"433,633",n/a,n/a, - , - ,-,
Middlemount Coal Mine,QLD,Middlemount Coal Pty Ltd,49122348412,"268,480",Calculated baseline,"246,523",0,0,0,"246,523",n/a,n/a, - , - ,-,
Millicent Mill,SA,Kimberly-Clark Australia Pty. Limited,65000032333,"121,846",Calculated baseline,"104,395",0,0,0,"104,395",n/a,n/a, - , - ,-,
Mobil Altona Refinery,VIC,MOBIL REFINING AUSTRALIA PTY. LTD.,48004300163,n/a,Multi-year monitoring period,"110,446",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Montara Operations,NT,JADESTONE ENERGY (EAGLE) PTY LTD,98627006679,"332,536",Calculated baseline,"262,068",0,0,0,"262,068",n/a,n/a, - , - ,-,
Moolarben Coal Mine (Open Cut & Underground),NSW,MOOLARBEN COAL OPERATIONS PTY LTD,59077939569,"361,814",Calculated baseline,"181,893",0,0,0,"181,893",n/a,n/a, - , - ,-,
Moomba Plant,SA,Santos Limited,80007550923,"2,252,960",Production-adjusted baseline,"2,175,400",0,0,0,"2,175,400",n/a,n/a, - , - ,-,
Moorvale Coal Mine,QLD,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,65077890932,"239,233",Calculated baseline,"112,364",0,0,0,"112,364",n/a,n/a, - , - ,-,
Moranbah,QLD,Incitec Pivot Limited,42004080264,"610,520",Production-adjusted baseline,"601,867",0,0,0,"601,867",n/a,n/a, - , - ,-,
Moranbah North Mine,QLD,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,14069603587,"4,533,701",Calculated baseline,"2,006,377",0,0,0,"2,006,377",n/a,n/a, - , - ,-,
Mount Isa Mines Copper and Zinc Operations,QLD,MOUNT ISA MINES LIMITED,87009661447,"610,598",Calculated baseline,"335,200",0,0,0,"335,200",n/a,n/a, - , - ,-,
Mount Pleasant Operations,NSW,MACH Energy Australia Pty Ltd,34608495441,"752,950",Production-adjusted baseline,"716,841",0,0,0,"716,841",n/a,n/a, - , - ,-,
Mt Keith Power Station,WA,TEC DESERT PTY LTD,47084695661,n/a,Multi-year monitoring period,"185,892",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
