facility_id,year,mechanism,facility_name,responsible_emitter,state,anzsic,baseline,covered_emissions,net_emissions,mymp_baseline,mymp_net_emissions,notes
F0124,2020-21,legacy,Multinet Principal Distribution Network and South Gippsland Pipeline,MULTINET GAS (DB NO. 2) PTY LTD,NSW/VIC,,358206.0,215224.0,215224.0,,, - 
F0150,2020-21,legacy,Parkhurst Magnesia Manufacturing Plant,QMAG PTY LIMITED,QLD,,357739.0,240525.0,240525.0,,, - 
F0131,2020-21,legacy,Newmont Boddington Gold Operation,NEWMONT BODDINGTON PTY LTD,WA,,354726.0,219576.0,219576.0,,, - 
F0190,2020-21,legacy,Solomon Power Station,FMG SOLOMON PTY LTD,WA,,345831.0,183646.0,183646.0,,, - 
F0175,2020-21,legacy,Ravensworth Operations,RAVENSWORTH OPERATIONS PTY LIMITED,NSW,,345281.0,324204.0,324204.0,,, - 
F0114,2020-21,legacy,Montara Operations,JADESTONE ENERGY (EAGLE) PTY LTD,NT,,332536.0,247895.0,247895.0,,, - 
F0215,2020-21,legacy,West Angelas Mine,ROBE RIVER MINING CO. PTY. LTD.,WA,,331789.0,287475.0,287475.0,,, - 
F0173,2020-21,legacy,Ravensthorpe Nickel Operation,FQM AUSTRALIA NICKEL PTY LTD,WA,,324093.0,175361.0,175361.0,,, - 
F0193,2020-21,legacy,South West Synthetic Rutile Operations,ILUKA RESOURCES LIMITED,WA,,323579.0,212351.0,212351.0,,, - 
F0203,2020-21,legacy,Tropicana Gold Mine,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,WA,,323180.0,294418.0,294418.0,,, - 
F0025,2020-21,legacy,Brockman 2 / Nammuldi Mines,HAMERSLEY IRON PTY. LIMITED,WA,,321494.0,301307.0,301307.0,,, - 
F0227,2020-21,legacy,Yarwun Nitrates,ORICA AUSTRALIA PTY LTD,QLD,,321343.0,289722.0,289722.0,,, - 
F0012,2020-21,legacy,Australian Gas Networks (Vic) Pty Ltd,AUSTRALIAN GAS NETWORKS LIMITED,VIC,,317176.0,179603.0,179603.0,,, - 
F0100,2020-21,legacy,Kwinana Pigment Plant,TRONOX MANAGEMENT PTY LTD,WA,,308615.0,301915.0,301915.0,,, - 
F0268,2020-21,legacy,Australian Gas Networks (SA) Ltd,AUSTRALIAN GAS NETWORKS LIMITED,SA,,300947.0,116466.0,116466.0,,, - 
F0123,2020-21,legacy,Mt Owen Glendell Complex,MT OWEN PTY LIMITED,NSW,,286172.0,278984.0,278984.0,,, - 
F0066,2020-21,legacy,Foxleigh Mine,FOXLEIGH MANAGEMENT PTY LTD,QLD,,281190.0,181815.0,181815.0,,, - 
F0171,2020-21,legacy,Rail,THE PILBARA INFRASTRUCTURE PTY LTD,WA,,279793.0,285206.0,273430.0,,, - 
F0170,2020-21,legacy,Queensland Nitrates Ammonium Nitrate Plant,QUEENSLAND NITRATES PTY LTD,QLD,,271190.0,170277.0,170277.0,,, - 
F0224,2020-21,legacy,Yandicoogina Mine,HAMERSLEY IRON - YANDI PTY LIMITED,WA,,269097.0,158406.0,158406.0,,, - 
F0113,2020-21,legacy,Middlemount Coal Mine,MIDDLEMOUNT COAL PTY LTD,QLD,,268480.0,255612.0,255612.0,,, - 
F0178,2020-21,legacy,Rio Tinto Weipa,RTA WEIPA PTY LTD,QLD,,262591.0,245840.0,245840.0,,, - 
F0089,2020-21,legacy,Jellinbah Mine,JELLINBAH MINING PTY LTD,QLD,,256527.0,253099.0,253099.0,,, - 
F0229,2020-21,legacy,New Illawarra Road Landfill,SUEZ RECYCLING & RECOVERY HOLDINGS PTY LIMITED,NSW,,253528.0,127540.0,127540.0,,, - 
F0054,2020-21,legacy,DBNGP,DBNGP (WA) TRANSMISSION PTY LIMITED,WA,,246362.0,243269.0,243269.0,,, - 
F0078,2020-21,legacy,Gruyere Mine Site,GRUYERE MINING COMPANY PTY LTD,WA,,243584.0,181509.0,181509.0,,, - 
F0062,2020-21,legacy,Fimiston,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,WA,,242659.0,155548.0,155548.0,,, - 
F0015,2020-21,legacy,Batchfire Resources No.1,BATCHFIRE RESOURCES PTY LTD,QLD,,241186.0,159113.0,159113.0,,, - 
F0117,2020-21,legacy,Moorvale Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,,239233.0,111734.0,111734.0,,, - 
F0122,2020-21,legacy,Mt Keith Power Station,TEC DESERT PTY LTD,WA,,233797.0,189293.0,189293.0,,, - 
F0146,2020-21,legacy,Orora Glass Plant Gawler ,ORORA LIMITED,SA,,230909.0,209186.0,211578.0,,,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0037,2020-21,legacy,North Goonyella Coal Mine,PEABODY (BOWEN) PTY LTD,QLD,,225651.0,194427.0,194427.0,,, - 
F0267,2020-21,legacy,Aurizon Rail Freight WA,AURIZON OPERATIONS LIMITED,WA,,216374.0,137340.0,137340.0,,, - 
F0132,2020-21,legacy,Newmont Tanami Operation,NEWMONT TANAMI PTY LTD,NT,,215737.0,187685.0,187685.0,,, - 
F0108,2020-21,legacy,Marandoo Mine,HAMERSLEY IRON PTY. LIMITED,WA,,214614.0,169927.0,169927.0,,, - 
F0219,2020-21,legacy,Wilpinjong Coal Mine,WILPINJONG COAL PTY LTD,NSW,,208562.0,141409.0,141409.0,,, - 
F0046,2020-21,legacy,Coppabella Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,,203763.0,171567.0,171567.0,,, - 
